date,metrics
2024-08-01,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-02,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-03,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-04,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-05,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-06,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-07,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-08,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-09,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-10,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-11,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-12,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-13,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-14,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-15,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-16,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-17,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-18,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-19,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-20,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-21,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-22,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-23,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-24,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-25,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-26,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-27,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-28,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-29,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-30,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-08-31,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-01,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-02,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-03,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-04,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-05,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-06,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-07,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-08,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-09,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-10,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-11,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-12,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-13,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-14,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-15,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-16,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-17,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-18,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-19,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-20,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-21,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-22,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-23,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-24,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-25,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-26,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-27,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-28,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-29,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-09-30,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-01,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-02,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-03,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-04,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-05,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-06,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
2024-10-07,"{'yearly_solo': 0, 'yearly_duo': 0, 'yearly_family': 0, 'yearly_corporate': 0, 'monthly_solo': 0, 'monthly_duo': 0, 'monthly_family': 0, 'monthly_corporate': 0, 'weekly_solo': 0, 'weekly_duo': 0, 'weekly_family': 0, 'weekly_corporate': 0}"
